titles,category
이번 골든글러브  루수 김선빈 가능할까요 ,KIA
기아 외국인 투수에 대한 이야기 ,KIA
대만 측에서 외국 원정팬들 응원석 자리도 배려를 안해주네요,KIA
김선빈선수가 선물한 텀블러    ,KIA
스포티비나우 결제하면 프리미어   전경기볼 수 있는건가요 ,KIA
타팀팬이 바라보는 박찬호 성장이유,KIA
최원준 왜 선발 아님     ,KIA
      목 기아타이거즈 라인업 미리 나왔습니다,KIA
스무고개 진짜 라스트 찐막 갑니다,KIA
야구 틀어주는 술집왔는데 스포티비는   마다 돈내야하는거네요   ,KIA
이별은 항상 아프네요  ,KIA
내야 유망주 성장과 별개로 관리해준 박찬호  김선빈 성적이 궁금하긴 합니다 ,KIA
국제대회 성적이 안좋으면 내년 시즌 프로야구 흥행은 어렵겠죠 ,KIA
  보다 보상선수가대박난 시초,KIA
스무고개 찐막  타이거즈에 있었던 선수입니다,KIA
프리미어   그냥 도규나 안갈렸으면 함,KIA
라우어와 네일 상황이 애매해서 그냥 발표 미루고있는거겠죠 ,KIA
선수가 떠나면 아쉽기야 하지만,KIA
박찬호가 결국 성장한 이유에 대한 생각,KIA
미쳤나봅니다   ,KIA
스무고개 찐막  타이거즈에 있었던 선수입니다,KIA
월드컵 한국우승    자팀 한국시리즈 우승,KIA
김형준 왈 다저스의 투수 운용 철학,KIA
최원영 고교성적,KIA
만약 장현식 김현수  대  트레이드 라면,KIA
응원팀 우승       우승 선택 ,KIA
엘지보상선수픽이 언제발포인가요 ,KIA
스무고개 찐막  기아에 있었던 선수입니다,KIA
스무고개 하실 분 찐막 기아출신,KIA
껌식이의 의미 심장했던 노래    ,KIA
이재현 당신은 아이돌 아니라고요,SAMSUNG
여기서 홈런 스윙을 하네,SAMSUNG
돌진만    ,SAMSUNG
역시 돌진만,SAMSUNG
맛자욱 한번 가야할듯,SAMSUNG
타자들이 풀스윙만 머리에 가득차니     ,SAMSUNG
아 왤케 카드를 아끼냐,SAMSUNG
볼넷이라도 노리던가    몸에라도 맞던가,SAMSUNG
가을야구  할 치는데 대타 안써는 돌진만,SAMSUNG
닭진만 뺘마대기 돌리고 싶네,SAMSUNG
오늘경기 끝났네요   ,SAMSUNG
돌진만 디져라,SAMSUNG
가을야구  할 치는데 대타 안써는 돌진만,SAMSUNG
박진만한텐 그냥 정규시즌    번째 경기인듯,SAMSUNG
돌진만   ,SAMSUNG
단타라도 칠 생각을 해야하는데,SAMSUNG
윤정빈이라도 써야 되는거 아님 ,SAMSUNG
여기서 풀스윙 이라  ,SAMSUNG
박진만은 도대체 뭘 보고 번트를 대는걸까요 ,SAMSUNG
대타없이 이재현 졌다   ,SAMSUNG
내일있는 야구 하는 돌진만,SAMSUNG
이재현 진짜 마지막까지,SAMSUNG
대타없이 이재현 졌다   ,SAMSUNG
재현이 고집하면 법력 나오라고 기도합세다  ,SAMSUNG
쓰벌 저쉑은 항상 들어올림 에라이,SAMSUNG
윤정빈 대타좀 쓰라니께,SAMSUNG
스윙이 다 어퍼  풀이냐,SAMSUNG
박진만은 정말 모험은 안하려고 하네요 ,SAMSUNG
개쫄보 박진만,SAMSUNG
이재현 쳐돌았나     ,SAMSUNG
장현식 수도권 팀 비딩 구라라던 사람들 다 머리박고 줄 서세요,LG
엘지팬들은 어떤가여 ,LG
임찬규는 옵션 떡칠해놓고,LG
선발 망주는 아예 없고 불펜은 그래도 반등 노려볼 자원이라도 있음,LG
장현식을 선발로 쓸건가보네요,LG
  인에 송찬의 드가나요 ,LG
엘지   인 예상,LG
엘지   인외 누구인가요 ,LG
최원태 어디 가는거 아닌가요 ,LG
축하할 상황에서 엘지님들 이 짤이 맞는 모르겠지만서두  ,LG
장현식 선발은 어때요 ,LG
평이나 분위기 안좋은거보니까,LG
뉴패턴이긴 하네요,LG
진지하게 장현식   에서 잘잡았다고 봄,LG
염경엽 차명석 둘다 꺼졌으면,LG
엘지님들 근데 차명석 단장 엘젤차 맞네요,LG
차명석 옹호하던 팬들          ,LG
엘지팬분들 옵션 없이 전액 보장   억은 과하지않나요 ,LG
최원태에   억도 오퍼 못하겠네요,LG
이렇게 된이상 장현식 선발전환 가야죠,LG
장현식 연봉이  억이에요  ,LG
와이프 되시는 분 의견도 꽤 반영된 것 같기도 하고,LG
  가면 더잘하긴할듯,LG
노옵션전액보장    올해  이닝던진불펜   ,LG
차단장 나가라,LG
      레미안 원베일리 이사왔습니다 ,LG
장현식    엄상백,LG
아무리봐도 작년 김재윤이 대혜자,LG
진심 엘현식이에요   억에 전액보장 ,LG
최원태 샐캡 때문에 많이 못준다고 하지 않았나요   ,LG
김택연은 내년이나 후년에 무조건 부상이탈 확정 아닌가요 ,DOOSAN
투수들 내년에 탈난다는 보장은 없지만,DOOSAN
내년 만약 두산이  위하면 이승엽 재계약 할까요 ,DOOSAN
전 절대로 이승엽 내년 임기까지 채운다고 봅니다 ,DOOSAN
이승엽은 너무쫄보마인드임,DOOSAN
김대한 투수 전향 가능한가요 ,DOOSAN
팩트는 이승엽 영입하라고 아무도 등 떠밀지 않았다는거임   ,DOOSAN
 위 타이브레이크 정확히 언젠지 아시는분 있나요 ,DOOSAN
남의 팀 감독에 관심들이 많으신데,DOOSAN
와카 예매일정은 그럼 미정인건가요 ,DOOSAN
이승엽    프로 잘리는 경우가 있긴 하죠 ,DOOSAN
타팀 님들이 자꾸 성적이야기 하는데,DOOSAN
       이닝  김택연          이닝  이병헌  정말 팔 빠져라 던졌다 시즌 내내 불펜진 과부하  되풀이 안 된다,DOOSAN
이승엽     기원  일차,DOOSAN
이승엽은 성적에 비해 너무 과도하게 까이는거 아닌가요,DOOSAN
이승엽감독  년간 정규리그 성적,DOOSAN
이승엽 선임 당시 반응,DOOSAN
이승엽 감독 대단하네요 ,DOOSAN
솔직히 양석환은 할만큼 한거 아닌가요 ,DOOSAN
이승엽 욕하고 직관은 더 간다는게  뭐지 ,DOOSAN
두산 암흑기는 내년부터가 시작입니다,DOOSAN
곽빈 올시즌 매우 잘던진 편이죠 ,DOOSAN
양석환보면   시즌 푸홀스 보는 것 같아요 ,DOOSAN
김재환 월별 요일별 성적,DOOSAN
양석환 밥값하는편 ,DOOSAN
두산 소식통 안계십니까 ,DOOSAN
타팀팬들께 이승엽 감독에 대해 여쭙고싶습니다,DOOSAN
곽빈 올시즌 승리투수 일지    ,DOOSAN
솔직히 양석환은 홈런만 잘치는 타자죠,DOOSAN
어제 인생을 살아가는 삶의 교훈 곽빈처럼,DOOSAN
올해   가 작년 처럼 못올라가는 이유,KT
  로하스   경기만에     알포드 홈런 개수 추월,KT
위팍 내야외야 이동할수있나요 ,KT
신인 육청명  불펜이 승을 날린 경우  위   ,KT
그게 안 빠지네요 ,KT
감독이 먼저 포기하고 손동현 방치,KT
아 황재균   ,KT
케이티 동점 혹 역전 가는 이벤트,KT
갓창기 그도 사람이옸다     ,KT
로하스    ,KT
그게 안 빠지네요,KT
저는    불펜들 보면 짠하더군요,KT
손동현은 구위가 작년이랑 다른거 맞죠 ,KT
욕이 절로 나오네     ,KT
손동현 선수 혹사인가요 ,KT
안바꾸나요 ,KT
불펜 찐짜 쓰레기들밖에 없네,KT
육크라이,KT
진짜 개뻔하다니까 홍창기 왜 승부해        ,KT
홍창기네 최소 동점,KT
투수 이름이  여진족국가    한족국가          ,KT
김민수 적당히 좀 쓰지   ,KT
캐스터 왜 오버를   ,KT
육청명 등판일에는,KT
육청명  이닝  실점    ,KT
우리가 엘지 뛰는야구 피해자  등이라 저게 이상한게아님,KT
장성우 뭔 일 있나요   ,KT
저만 지연 호감인가요,KT
조용호는 몇년전엔 되개 까다롭던 선수였던것같은데,KT
로하스는 무슨 알뱃 소리가 나나요,KT
한유섬 이런애는 내년에 주전 쓰지맙시다 시간도아깜네요,SSG
기승전 기적의 무득점   ,SSG
요키시 복귀후에 첫  이닝   퀄스죠 ,SSG
 루타 치면 뭐해,SSG
안상현은 그냥 버려라 저런걸왜쓰는건지,SSG
내년엔 감독 및 코치진과 선수진 싹다 정리했으면 좋겠네요,SSG
걍 이숭용이 원하는대로 다 반대로가네요,SSG
진짜 너무 암울하네 투수보다 더 암울한게 타자쪽임,SSG
글 좀 모아서 쓰던지 진짜    ,SSG
지고 있어도 기분이 나쁘지 않네,SSG
진짜 시간이 아깝네요,SSG
오늘 타자들  안타쳣어요    어케이겨요,SSG
엘리  아웃잡고 백투백에  연타,SSG
탱탱볼 문학  점차  회인데,SSG
문학 홈으로 쓰면서 문학런도 아무도 못치는데 투수만 죽을맛,SSG
이게 타자 차이임        오늘 선발 욕하면 진짜,SSG
데이비슨 문학오면   홈런 가능할까요,SSG
낮경기 좋네요,SSG
진짜 여기팀은 공포 분위기 조정해야할거같에요,SSG
비인기팀들끼리 야구하니까,SSG
솔칙히 감독 잘못도 맞는데 선수들도 진짜 드럽게못함,SSG
와 진짜 눈물난다 타자들 실력이 진짜        ,SSG
진짜 타격 실화냐     진짜 이번시즌 꼴찌 맞음,SSG
근데 진짜 쓱타자들 머리 너무 안좋은거 아니에요    ,SSG
이순철 해설,SSG
최정 부상 다른 코멘트 나온게 있나요  ,SSG
한유섬 못치면 걍 눈감지 뭔 개볼을 휘두르냐,SSG
하 진짜 투수들 욕하는데 더 심각한건 타자들임,SSG
흐름이 또 타자들 점으로 끝내고 불펜에서 역전당하는,SSG
랜더스 모자   뭐죠 ,SSG
김원중이 중간불펜 보직이면 상급인가요 ,LOTTE
나승엽 내년에        충분히 할거같습니다,LOTTE
가장 가슴 아팠던 이별은 ,LOTTE
사직 담장이 보기는 싫은데 결과는 좋으니 애매하군요 ,LOTTE
김상진 코치 롯데 올 가능성 있을까요     ,LOTTE
주전이 될수록 표정이 밝아지는 선수    ,LOTTE
내년에 유강남의 공격력이 필요하긴 하네요,LOTTE
우리     인방중에   노진혁 영입은 욕할 생각이 안드네요  ,LOTTE
김상진 코치 롯데행 ,LOTTE
   급 눈썰미  처음 만난  투수 공  개로 파악 도루  도루  또 도루    롯데 신스틸러  아  충분히 가겠네  자신감,LOTTE
진짜    인방만 생각하면 욕나오네  ,LOTTE
고효준 다시 데려오면 좋겠네요,LOTTE
올해 보호선수 명단이 그나마 널널할 수 있는 이유,LOTTE
우신희치어 가없네요 ,LOTTE
병역특례 관련 박세웅 글 내리세요 ,LOTTE
아래  투수가 박세웅이라는 헛소문 관련해서,LOTTE
롯데가 최원태에  년   억 제시할듯,LOTTE
엥  선수 박세웅이였나요 ,LOTTE
전 롯데외국인투수 인터뷰,LOTTE
와    그 에이전씨는 진짜 역대급이네요,LOTTE
주형광은 그대로간다 보직변경 있을수있다가,LOTTE
엄상백 부산 놀러왔나봐오,LOTTE
이호준 오늘 수비,LOTTE
에르난데스 같은 마무리 투수 영입 어떤가요 ,LOTTE
황성빈한테 홈런더비 진 윤동희    ,LOTTE
강민호 코시 갔으면 좋겠는데,LOTTE
역대 롯데 포스트시즌 타자 성적,LOTTE
김상진 투수코치님 롯데 오는거 같네요,LOTTE
작년에 손아섭도     승 선착하고 역스윕당했는데,LOTTE
아직 그래도 실책은 안하네요 민호   ,LOTTE
재밌는걱 심우준  년   억 안치홍  년   억,HANWHA
스토브리그의 왕 한화,HANWHA
어쩌면 트레이드가 있을지도,HANWHA
한화는 전부터 시장 가격 올리는 역할인가요   ,HANWHA
이미 영입은 했으니 기대하긴 하는데,HANWHA
딱   년전에 한화가 김민재를  년   억에 영입했었죠     ,HANWHA
내년에 한화팬이 바라본 심우준은 가시밭길이겠네요,HANWHA
이러면 내야수로 중견수 구해오려나요,HANWHA
    도 아니고     은 협상력이 없는거죠,HANWHA
당장 작년계약인 안치홍이랑  억차이임,HANWHA
김경문 내년시즌 심우준    번으로 박고쓴다에 돈걸고싶네요       ,HANWHA
심우준 기대치,HANWHA
영입할거면 좀 애들 군대 간다음에 하던가 진짜,HANWHA
심우준 통산 출장옵     ,HANWHA
지금 트레이드로 중견수 자원 내줄 수있는 팀 있나요 ,HANWHA
처음엔 화났는데 그냥   억정도 더썼다고 생각하니,HANWHA
심우준 영입은 큰그림임,HANWHA
 심우준 잡은 한화  투수도 노린다 ,HANWHA
심우준 타격만보면 기존 자원이랑 다를게 먼가요 ,HANWHA
푸이그는 키움행 확정 아니죠 ,HANWHA
김경문은 내년에 박찬호 풀리는지도 모를껄요,HANWHA
한화로 이적한 심우준  정말 잘할 테니 반겨주셨으면 ,HANWHA
심우준 이정도면 잘 데려온거죠,HANWHA
아니 근데 진짜 심우준한테,HANWHA
걍 푸이그까지 데려와서 또 폭풍이 되어봅시다,HANWHA
한화팬분들 한화 셀캡 곧 터지나요  ,HANWHA
진짜 손혁은 팀 망칠려고 온건가,HANWHA
푸이그 중견 가능합니까 ,HANWHA
심우준이 갑자기 타격이 리바운딩될일은 없고 유일한 살길은 빨리 유망주후배 힌명붙잡고 겨울캠프돈대주기죠,HANWHA
이런 얘기는   년시즌후   가 할 발언 같은데,HANWHA
경질 기사,NC
엔씨팬들 류지현 만약 진짜 감독 된다면 엘지팬 이야기는 그냥 참고만 하세요,NC
  팬이 바라보는 류지현    ,NC
 얼마나 성장했는지 김경문 감독에게 분명히 보여드리겠다  드디어 만났다  사제지간 지략대결 개봉박두,NC
비나이다 경질 기사 나오길,NC
강인권이 엔씨 역대 최악의 감독으로 남을정도로 최악인가요 ,NC
포시 반짝 성적에 가려서 그렇지 작년에 기아 김종국  강인권 돌매치 치열했음,NC
와   파크 좋네용  ,NC
   역시 엠팍은,NC
류지현은 모르겠고 허문회타코 맘에 듬,NC
와 이제 롯데한화키움에 이어 엔씨까지 응원해야되네,NC
근데 류지현도 타격감 위주의 야수의 기용이 아닐텐데,NC
 월이후 팀 성적,NC
달감 욱동은 꼭 재취업되길 바랐었는데,NC
인권아 빨리 가라,NC
하 드디어 봄날이 오나 류지현,NC
엔씨 썰 정리,NC
강인권 나가고,NC
강인권 감독 갈땐가더라도  ,NC
   류지현 합성    ,NC
개인적으로 류지현감독은 어느 감독보다 코치의 역량이 중요하다고 봅니다,NC
류지현 엘지감독 취임 당시 강조한부분,NC
그러고보니 정말 오랜만에 조금이나마 울팀 편파 해설느낌이었는데  ,NC
류지현 감독되면 한석현은 정근우 김성근 급인건가 ,NC
진짜 류지현으로 바뀌는거면 좀 잔인하긴 하네요,NC
실시간 엔씨에서 제일 큰일난 선수    ,NC
근데 엘지팬분들 말들어보면  ,NC
솔직히 잘몰라서요 강인권감독 뭐가문제에요 ,NC
엔갤피셜 류지현 감독이 맞는 이유     ,NC
류지현 빠따짤   버전 합성      ,NC
올해 유격은 걍 고영우땜방으로 쓰는게 맞음,KIWOOM
이재상 최악이네 진짜    ,KIWOOM
오늘은 져도 기분이 나쁘지않네요,KIWOOM
지금까진 이재상은 잘하는게 없음   ,KIWOOM
유격수 머하는거야,KIWOOM
이재상,KIWOOM
이재상 폐급인데요 ,KIWOOM
지가 스스로 볼질해서 위기 자초한 결과임,KIWOOM
장재영은 바로 두 자리 치지 않을까요 ,KIWOOM
바꾸자 제구가 전혀안된다,KIWOOM
꾸역꾸역 분위기였는데,KIWOOM
쳐 볼질하다 가운데 던져서 쳐맞기,KIWOOM
시계가 문제가 아니네요,KIWOOM
아니 심하잖아 볼질이 몇개냐고,KIWOOM
장재영 본인이 제일 잘 알았을텐데 좀 안타깝네요,KIWOOM
키움은 포지션 컨버젼 선수만 라인업에  명이네요,KIWOOM
프런트 바로 호객행위,KIWOOM
장재영 키    가까이되나요 ,KIWOOM
하다하다 팬도 트레이드 시키려는듯   ,KIWOOM
키움  루 없나요  ,KIWOOM
이재상 실책,KIWOOM
혜성이 보러 온 스카우터들에게 재영이가 눈도장찍을듯,KIWOOM
보통 머주나요  기념사인배트  연간입장권 ,KIWOOM
구단은 돈은 없겠지만 해드릴수있는거 다해드려라,KIWOOM
이재상 폭탄이네요,KIWOOM
장재영의 현실 기대치는 나성범 아닐까요 ,KIWOOM
솔직히 장재영 타자전향 빨리 시킨편이라고 생각합니다,KIWOOM
장재영이 터지면 더 기쁜 이유,KIWOOM
장재영 홈런은 심판도 축하해주네요    ,KIWOOM
 루심도 축하해준건가요,KIWOOM
